,Afghanistan,Armenia,Australia,Azerbaijan,Bahrain,Bangladesh,Belarus,Brunei,Cambodia,China,Cyprus,Estonia,Fiji,Georgia,HongKongSARChina,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,Kazakhstan,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lithuania,Malaysia,Moldova,Mongolia,Myanmar,Nepal,NewZealand,Oman,Pakistan,PapuaNewGuinea,Philippines,Qatar,Russia,SaudiArabia,Singapore,SriLanka,Tajikistan,Thailand,Tonga,Turkey,UnitedArabEmirates,Uzbekistan,Vanuatu,Vietnam,Yemen,SouthKorea,Syria,Bhutan
Iraq,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,2,,,,2,,2,,,,,,2,2,,,,,,,
Israel,,,1,,,,1,,,,1,1,1,1,1,,,,,,1,,,,,,,1,,1,,1,1,,,1,,,1,1,,1,,1,,,,1,,,,1,,,1,,
Japan,,,1,,,,,1,,,1,1,,,1,,1,,,1,,,,,,,,1,,1,1,,,,,1,,,,,,,,1,,,1,,1,1,,,,,1,,
Jordan,,2,2,2,1,,2,2,,2,1,2,2,2,2,2,2,,,1,2,,2,2,1,2,,2,1,2,2,,,,,2,1,,2,,1,2,1,2,,2,2,2,1,1,2,2,,,2,,2
Kazakhstan,,1,1,1,,,1,,,,1,1,,1,1,,,,,1,1,,,,,1,,1,,1,1,1,1,,,1,,,,,,1,,1,,1,,,1,1,1,,,,1,,
Kiribati,,,1,,,,,1,,,1,1,1,,1,,,,,,1,,,,,,,1,,1,1,,,,,1,,,,,,,,1,,,,1,,,,1,,,1,,
Kuwait,,,2,,1,,,2,3,,2,2,,2,2,,,,,,2,,,,,,2,2,,2,2,,,,,2,1,,,,1,,1,2,,,,,2,1,,,2,,2,,2
Kyrgyzstan,3,1,1,1,1,3,1,1,3,3,2,1,3,1,3,3,2,3,3,2,1,3,1,3,1,,3,1,,1,1,1,1,3,3,1,2,3,3,2,1,1,1,1,3,1,2,3,1,1,1,3,1,3,1,3,3
Laos,,2,2,2,2,,2,1,1,2,2,2,2,2,2,2,1,2,,2,1,,2,2,2,2,,2,,2,1,2,1,1,2,2,2,,2,1,2,1,2,1,2,2,1,,2,2,2,2,1,2,1,,2
Latvia,,,1,,,,,1,,,1,1,,1,1,,,,,1,1,,,1,,,,,,1,1,1,,,,1,,,,,,,,1,,,,1,,1,,1,,,1,,
Lebanon,,2,2,2,1,,2,,,2,2,2,,2,2,,,2,2,,2,1,2,,1,2,,2,,2,2,2,,,,2,1,,,,1,2,1,1,,1,,,2,1,2,,,,2,,2
Lithuania,,,1,,,,,1,,,1,1,,1,1,,,,,1,1,,,1,,,,1,,,1,1,,,,1,,,,,,,,1,,,,1,,1,,1,,,1,,
Malaysia,,1,1,1,1,3,1,1,1,3,1,1,1,1,1,3,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,3,,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,3
Moldova,,1,1,1,,,1,1,,,1,1,,1,1,3,3,,,1,1,,1,1,,1,,1,,1,1,,,,,1,,,,,,1,,1,3,1,3,1,1,1,1,1,,,1,,
Mongolia,,,,,,,1,,,,,,,,1,,,,,1,1,,1,,,1,1,,,,1,,,,,,,,,1,,1,,1,,,1,,1,,,,,,,,
Myanmar,,,3,,,3,3,1,1,2,3,3,3,3,1,2,1,,,3,1,3,3,3,3,,1,3,,3,3,,3,,3,3,,3,3,1,3,3,3,1,3,,1,3,3,,3,3,1,,1,,3
Nepal,,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2
NewZealand,,,1,,1,,,1,,,1,1,,,1,,,,,1,1,,,,1,,,1,,1,1,,,,,,1,,,,1,,1,1,,,,,,1,,,,,1,,
Oman,,,3,,1,,,3,,3,3,3,,,3,,3,2,,,3,,,,1,,,3,,3,3,3,,,,3,,,,,1,3,1,2,,,3,,3,1,,,,,3,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,1,,,,,,,,,
PapuaNewGuinea,,,1,,,,,1,,,1,1,1,,1,,1,,,2,1,,,1,,,,1,,1,1,,,,,1,,,,1,,,,1,,,1,1,,,,1,,,1,,
Philippines,,,1,,1,,,1,1,,1,1,1,,1,,1,,,1,1,,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,,1,1,1,1,,1,1,,1,1,1,1,1,,1,,1
Qatar,3,3,1,1,1,3,1,1,3,1,1,1,3,1,1,1,1,3,3,,1,3,1,3,1,3,3,1,1,1,1,1,3,3,3,1,1,1,3,3,,1,1,1,3,3,1,3,1,,3,3,3,3,1,3,3
Russia,,1,,1,,,1,1,,,,,1,,1,,,,,1,,,1,,,1,1,,,,,1,1,,,,,,,,,,,,,1,1,,,,1,1,,,1,,
SaudiArabia,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
Singapore,,3,1,,1,,,1,1,3,1,1,1,3,1,3,1,,,1,1,,3,1,1,,1,1,,1,1,,1,1,1,1,1,,1,1,1,3,,,1,3,1,1,1,1,3,1,1,,1,,1
SriLanka,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,,2
Tajikistan,,1,2,1,3,,1,3,,3,3,3,3,1,3,3,3,3,,2,3,2,1,,2,1,,2,2,2,3,1,3,,,2,2,3,3,3,2,1,2,2,3,,3,,2,2,1,,3,2,3,,
Thailand,,,1,,1,,,1,1,2,2,1,2,,1,2,1,,,1,1,,2,,1,,1,2,,2,1,,1,1,,1,1,,2,1,1,1,2,1,,3,,,1,1,2,,1,,1,,2
Tonga,,,2,,,,,2,,1,1,1,2,,1,,,,,1,2,,,2,,,,1,,1,2,,,,,2,,,2,,,2,,2,,,,,2,1,,2,,,2,,
Turkey,,3,3,1,3,,1,1,,3,3,1,3,1,1,,3,1,,1,1,1,1,,1,1,,1,1,1,1,1,1,,,1,3,,,,1,1,3,1,,,1,,,3,1,,,,1,,
UnitedArabEmirates,,,2,,1,,,2,,1,1,1,,,2,,,,,,1,,1,,1,,,1,,1,2,,,,,2,1,,,,,2,1,1,,,,,,,,,,,1,,
Uzbekistan,,1,3,1,,,1,,,3,,3,,1,3,3,1,,,1,1,,1,,3,1,,3,,3,1,1,,,,3,3,,,3,,1,3,1,,1,3,,1,3,,,,,1,,
Vanuatu,,,1,1,1,1,1,1,,1,1,1,1,,1,1,,,,1,1,,,1,1,,,1,,1,1,,,,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,,
Vietnam,,3,3,3,,,1,1,1,,,,,,,3,1,,,,1,,3,,,1,1,,,,1,,3,1,,3,,,,1,,1,,1,,3,1,,,3,,,,,1,,
Yemen,,,,,2,,,2,,,,,,,1,,,,,,,2,,,2,,,,,,2,,,,,,2,,,,2,,2,,,,,,,2,,,,,,1,
SouthKorea,,,1,,1,,,1,,,1,1,1,,1,,,,,1,1,,1,1,1,,,1,,1,1,,,,,1,1,,,,1,1,1,1,,,1,1,1,1,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
